Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,55,3,12.4,2.0,3.8,.541,0.0,0.0,0,2.0,3.8,.541,.541,1.0,1.9,.515,1.3,2.3,3.6,0.5,0.3,0.5,0.7,1.6,5.0
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,56,56,28.0,3.4,5.4,.620,0.0,0.1,.000,3.4,5.4,.627,.620,1.1,2.4,.444,3.8,5.2,9.0,1.9,0.9,0.7,1.4,2.0,7.8
Bam Adebayo,C,23,MIA,54,54,33.5,7.2,12.7,.566,0.0,0.1,.250,7.2,12.6,.570,.568,4.6,5.7,.803,2.3,6.9,9.1,5.3,1.1,1.1,2.7,2.2,19.1
LaMarcus Aldridge,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
LaMarcus Aldridge,C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
Ty-Shon Alexander,SG,22,PHO,9,0,3.2,0.2,1.1,.200,0.1,0.8,.143,0.1,0.3,.333,.250,0.1,0.2,.500,0.1,0.4,0.6,0.1,0.0,0.1,0.1,0.1,0.7
Nickeil Alexander-Walker,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
Grayson Allen,SG,25,MEM,45,33,25.6,3.6,8.5,.428,2.3,5.7,.405,1.3,2.8,.476,.564,1.6,1.9,.857,0.3,2.9,3.2,2.2,1.0,0.2,1.0,1.4,11.2
Jarrett Allen,C,22,TOT,50,32,29.0,4.7,7.4,.636,0.1,0.3,.385,4.6,7.2,.645,.643,3.4,4.7,.715,2.9,6.9,9.8,1.6,0.5,1.5,1.5,1.6,12.9
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,38,27,29.7,5.1,8.1,.627,0.1,0.3,.385,4.9,7.7,.638,.636,3.2,4.6,.701,2.9,6.8,9.7,1.6,0.4,1.5,1.4,1.6,13.4
Al-Farouq Aminu,PF,30,TOT,20,14,19.6,1.8,4.6,.391,0.4,1.7,.212,1.5,3.0,.492,.429,0.8,1.0,.842,1.0,4.0,5.0,1.5,0.9,0.5,1.4,1.3,4.8
Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
Al-Farouq Aminu,PF,30,CHI,3,0,8.0,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,3.0,3.0,0.3,0.0,0.0,0.7,1.0,0.7
Kyle Anderson,PF,27,MEM,56,56,27.4,4.4,9.6,.459,1.3,3.9,.343,3.1,5.8,.537,.528,2.0,2.6,.779,0.8,5.2,6.0,3.6,1.3,0.8,1.2,1.8,12.2
Giannis Antetokounmpo,PF,26,MIL,50,50,33.6,10.3,18.2,.566,1.1,3.6,.300,9.2,14.6,.632,.596,6.8,10.0,.679,1.7,9.6,11.3,6.0,1.2,1.3,3.7,2.7,28.4
Kostas Antetokounmpo,PF,23,LAL,14,0,3.8,0.2,0.7,.300,0.0,0.0,0,0.2,0.7,.300,.300,0.4,0.9,.462,0.3,1.1,1.4,0.1,0.1,0.3,0.7,0.5,0.9
Thanasis Antetokounmpo,SF,28,MIL,47,2,10.4,1.4,2.7,.524,0.1,0.5,.292,1.3,2.2,.578,.552,0.4,0.8,.462,1.1,1.4,2.5,0.9,0.4,0.2,0.9,1.4,3.3
Carmelo Anthony,PF,36,POR,58,3,25.0,4.8,11.6,.413,1.8,4.7,.389,3.0,6.9,.430,.493,2.1,2.4,.878,0.5,2.7,3.2,1.6,0.7,0.6,1.0,2.1,13.6
Cole Anthony,PG,20,ORL,34,21,26.6,4.3,11.2,.387,1.1,3.5,.303,3.3,7.7,.425,.434,1.9,2.4,.825,0.9,3.6,4.5,4.2,0.7,0.4,1.9,2.1,11.6
OG Anunoby,SF,23,TOR,39,39,33.2,5.5,11.6,.479,2.4,6.0,.402,3.1,5.6,.562,.583,1.9,2.4,.777,1.3,4.3,5.6,2.0,1.6,0.7,1.8,2.8,15.4
Ryan Arcidiacono,PG,26,CHI,35,0,10.9,1.1,2.8,.394,0.5,1.6,.316,0.6,1.2,.500,.485,0.3,0.5,.750,0.1,1.5,1.6,1.4,0.2,0.0,0.2,1.2,3.1
Trevor Ariza,SF,35,MIA,20,17,27.0,2.9,7.3,.393,1.5,4.2,.357,1.4,3.1,.443,.497,1.1,1.4,.750,0.8,3.8,4.5,1.8,0.7,0.6,0.6,1.7,8.3
D.J. Augustin,PG,33,TOT,51,6,19.2,2.2,5.6,.385,1.3,3.5,.374,0.8,2.1,.402,.502,1.4,1.5,.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0
D.J. Augustin,PG,33,MIL,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
D.J. Augustin,PG,33,HOU,14,0,19.1,2.8,6.7,.415,1.3,3.6,.360,1.5,3.1,.477,.511,2.4,2.4,.971,0.5,1.8,2.3,4.0,0.4,0.0,1.5,1.3,9.2
Deni Avdija,SF,20,WAS,54,32,23.3,2.4,5.8,.417,1.0,3.1,.315,1.4,2.7,.535,.502,0.5,0.8,.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3
Deandre Ayton,C,22,PHO,59,59,30.7,6.5,10.4,.623,0.1,0.3,.200,6.4,10.1,.637,.626,2.0,2.6,.770,3.3,7.4,10.7,1.4,0.5,1.1,1.6,2.9,15.0
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,59,39,25.1,3.8,9.6,.399,0.9,3.0,.309,2.9,6.6,.440,.447,1.8,2.2,.843,0.3,2.7,3.0,1.2,0.6,0.1,0.6,1.5,10.4
Marvin Bagley III,PF,21,SAC,37,37,25.7,5.6,11.2,.502,0.9,2.6,.354,4.7,8.6,.547,.543,1.6,2.9,.560,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9
LaMelo Ball,PG,19,CHO,41,21,28.6,5.8,12.8,.451,2.0,5.3,.375,3.8,7.6,.503,.528,2.4,3.0,.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
Lonzo Ball,PG,23,NOP,46,46,31.1,5.1,12.2,.420,3.0,7.9,.382,2.1,4.2,.492,.545,0.8,1.0,.792,0.5,3.6,4.1,5.6,1.4,0.6,2.0,2.0,14.1
Mo Bamba,C,22,ORL,35,1,13.1,2.7,5.8,.475,0.8,2.3,.354,1.9,3.5,.553,.545,0.7,1.0,.639,1.4,3.3,4.7,0.5,0.2,1.0,0.7,1.7,6.9
Desmond Bane,SG,22,MEM,54,12,22.2,3.5,7.3,.475,1.8,3.8,.459,1.7,3.5,.492,.595,0.6,0.8,.833,0.4,2.7,3.0,1.7,0.6,0.2,0.9,1.9,9.4
Harrison Barnes,PF,28,SAC,56,56,36.4,5.4,11.0,.494,1.6,4.3,.379,3.8,6.7,.568,.568,3.4,4.1,.827,1.1,5.5,6.6,3.5,0.8,0.2,1.6,1.3,15.9
RJ Barrett,SG,20,NYK,61,61,34.4,6.5,14.6,.447,1.5,3.9,.388,5.0,10.7,.469,.499,3.0,4.0,.744,1.0,4.7,5.7,3.0,0.7,0.3,2.0,2.6,17.6
Will Barton,SF,30,DEN,56,52,31.0,4.6,10.9,.426,1.8,4.6,.381,2.9,6.3,.459,.507,1.7,2.2,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7
Keita Bates-Diop,SF,25,SAS,22,0,6.9,0.7,1.9,.381,0.2,0.7,.333,0.5,1.2,.407,.440,0.5,0.7,.733,0.2,0.9,1.1,0.4,0.4,0.1,0.1,0.3,2.2
Nicolas Batum,SF,32,LAC,58,38,28.4,2.9,6.4,.458,1.7,4.2,.406,1.2,2.2,.559,.592,0.8,0.9,.846,0.8,4.1,4.9,2.4,1.1,0.6,0.9,1.6,8.3
Aron Baynes,C,34,TOR,50,31,18.2,2.4,5.6,.431,0.4,1.9,.237,2.0,3.8,.527,.470,0.5,0.7,.730,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8
Kent Bazemore,SF,31,GSW,57,8,18.1,2.4,5.4,.448,1.1,2.5,.417,1.4,2.9,.476,.545,0.8,1.1,.692,0.4,2.6,3.1,1.6,1.0,0.5,1.2,2.2,6.7
Darius Bazley,PF,20,OKC,44,44,31.2,4.8,12.1,.401,1.5,5.3,.289,3.3,6.8,.488,.464,2.0,2.8,.719,0.8,6.6,7.4,1.5,0.6,0.5,2.0,1.0,13.2
Bradley Beal,SG,27,WAS,50,50,35.5,10.9,22.6,.483,2.2,6.4,.349,8.7,16.2,.536,.532,7.0,7.8,.900,1.1,3.7,4.8,4.7,1.2,0.4,3.3,2.3,31.1
Malik Beasley,SG,24,MIN,37,36,32.8,7.1,16.2,.440,3.5,8.7,.399,3.7,7.5,.487,.547,1.8,2.2,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6
Jordan Bell,C,26,WAS,5,1,13.4,1.4,4.0,.350,0.0,0.4,.000,1.4,3.6,.389,.350,0.0,0.0,0,1.2,2.6,3.8,1.0,0.6,0.6,0.6,1.0,2.8
DeAndre' Bembry,SF,26,TOR,39,11,18.1,2.1,3.9,.533,0.2,0.8,.273,1.8,3.1,.605,.563,0.8,1.1,.698,0.6,2.0,2.7,2.0,0.8,0.4,1.3,1.5,5.2
Dāvis Bertāns,PF,28,WAS,44,5,24.6,3.4,8.3,.413,3.0,7.5,.407,0.4,0.8,.459,.596,1.8,2.0,.885,0.3,2.7,3.0,0.9,0.6,0.2,0.6,2.5,11.7
Patrick Beverley,PG,32,LAC,31,31,23.4,2.6,6.1,.432,1.7,4.0,.416,1.0,2.1,.462,.568,1.1,1.3,.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0
Saddiq Bey,SF,21,DET,59,42,25.9,3.7,9.1,.403,2.3,6.2,.375,1.4,3.0,.463,.530,1.7,1.9,.868,0.6,3.6,4.2,1.2,0.7,0.1,0.8,1.6,11.3
Tyler Bey,SF,22,DAL,11,0,3.5,0.4,1.1,.333,0.0,0.1,.000,0.4,1.0,.364,.333,0.2,0.4,.500,0.5,0.7,1.2,0.1,0.0,0.1,0.0,0.4,0.9
Khem Birch,C,28,TOT,55,10,20.7,2.2,4.6,.469,0.1,0.5,.250,2.0,4.1,.496,.482,1.3,1.8,.710,2.5,2.7,5.2,1.1,0.7,0.7,0.5,1.5,5.7
Khem Birch,C,28,ORL,48,5,19.8,2.0,4.4,.450,0.1,0.4,.190,1.9,3.9,.479,.459,1.3,1.8,.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3
Khem Birch,C,28,TOR,7,5,26.3,3.6,6.4,.556,0.4,1.0,.429,3.1,5.4,.579,.589,1.1,2.1,.533,2.7,3.6,6.3,1.1,0.7,1.4,0.9,2.1,8.7
Goga Bitadze,C,21,IND,37,2,11.3,1.9,4.1,.458,0.4,1.5,.268,1.5,2.6,.567,.507,0.9,1.2,.756,1.3,1.9,3.2,0.7,0.2,1.2,0.4,1.9,5.1
Bismack Biyombo,C,28,CHO,53,30,20.9,2.2,3.9,.571,0.0,0.0,.000,2.2,3.8,.574,.571,0.8,1.7,.478,2.1,3.2,5.3,1.3,0.3,1.1,1.0,2.3,5.2
Nemanja Bjelica,PF,32,TOT,34,1,15.5,2.3,5.1,.448,0.6,2.2,.270,1.7,2.9,.580,.506,1.0,1.3,.733,0.7,2.7,3.4,1.7,0.3,0.1,0.9,1.9,6.1
Nemanja Bjelica,PF,32,SAC,26,1,16.9,2.7,5.8,.460,0.7,2.2,.293,2.0,3.5,.565,.517,1.2,1.6,.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2
Nemanja Bjelica,PF,32,MIA,8,0,10.9,1.1,3.0,.375,0.4,2.0,.188,0.8,1.0,.750,.438,0.1,0.4,.333,0.1,1.9,2.0,1.1,0.3,0.3,0.4,1.9,2.8
Eric Bledsoe,SG,31,NOP,59,58,29.8,4.1,10.0,.409,1.8,5.1,.352,2.3,4.9,.469,.499,1.8,2.4,.722,0.4,3.0,3.4,3.7,0.7,0.3,1.6,1.6,11.8
Keljin Blevins,SF,25,POR,10,0,5.1,0.2,1.4,.143,0.0,0.5,.000,0.2,0.9,.222,.143,0.0,0.0,0,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
Bogdan Bogdanović,SG,28,ATL,35,18,28.6,5.5,12.0,.455,2.9,7.0,.418,2.5,5.0,.506,.576,0.9,1.0,.912,0.5,3.2,3.7,3.2,0.9,0.3,1.2,2.2,14.7
Bojan Bogdanović,SF,31,UTA,60,60,30.6,5.2,12.2,.425,2.5,6.4,.387,2.7,5.8,.466,.526,2.9,3.3,.870,0.6,3.3,3.9,1.9,0.6,0.1,1.6,1.6,15.7
Bol Bol,PF,21,DEN,26,2,4.8,0.9,1.7,.511,0.3,0.8,.450,0.5,1.0,.560,.611,0.3,0.5,.583,0.0,0.7,0.7,0.3,0.1,0.4,0.5,0.5,2.4
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,37,8,11.3,0.8,2.1,.385,0.4,1.2,.283,0.5,0.9,.531,.468,0.1,0.2,.625,0.5,1.3,1.8,0.6,0.3,0.2,0.6,1.6,2.1
Devin Booker,SG,24,PHO,55,55,33.6,9.2,19.1,.482,1.9,5.7,.342,7.2,13.4,.541,.533,4.8,5.6,.860,0.5,3.7,4.2,4.5,0.9,0.3,3.2,2.9,25.1
Chris Boucher,C,28,TOR,59,13,24.0,4.8,9.2,.519,1.5,3.8,.389,3.3,5.4,.611,.600,2.5,3.2,.787,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6
Brian Bowen,SF,22,IND,6,0,2.5,0.2,0.7,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.2,0.2,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5
Avery Bradley,SG,30,TOT,24,4,22.1,2.5,6.4,.383,1.3,3.8,.341,1.2,2.6,.444,.484,0.5,0.6,.800,0.3,1.9,2.2,1.8,0.7,0.1,0.9,2.1,6.7
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Avery Bradley,SG,30,HOU,14,3,22.8,2.0,6.3,.318,1.1,3.8,.283,0.9,2.5,.371,.403,0.4,0.4,.833,0.4,2.1,2.5,2.0,0.7,0.1,0.9,1.7,5.4
Tony Bradley,C,23,TOT,35,8,16.3,3.1,4.7,.661,0.0,0.1,.000,3.1,4.6,.673,.661,0.8,1.2,.707,2.1,3.6,5.7,0.8,0.4,0.7,0.8,1.5,7.1
Tony Bradley,C,23,PHI,20,8,14.4,2.6,3.8,.680,0.0,0.1,.000,2.6,3.7,.689,.680,0.4,0.6,.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5
Tony Bradley,C,23,OKC,15,0,18.8,3.9,6.0,.644,0.0,0.1,.000,3.9,5.9,.659,.644,1.5,2.0,.733,2.3,4.1,6.4,0.8,0.5,0.7,1.4,1.7,9.2
Jarrell Brantley,PF,24,UTA,21,0,4.5,0.7,1.6,.455,0.3,1.0,.350,0.4,0.6,.615,.561,0.1,0.1,1.000,0.3,0.7,1.0,0.3,0.1,0.1,0.1,0.7,1.9
Ignas Brazdeikis,SF,22,TOT,5,0,3.0,0.0,0.8,.000,0.0,0.2,.000,0.0,0.6,.000,.000,0.4,0.4,1.000,0.2,0.6,0.8,0.2,0.0,0.0,0.2,0.0,0.4
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Ignas Brazdeikis,SF,22,PHI,1,0,8.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikal Bridges,SF,24,PHO,59,59,32.5,4.9,9.3,.526,1.8,4.4,.405,3.2,5.0,.633,.621,1.5,1.8,.829,1.1,3.3,4.4,2.2,0.9,0.9,0.8,1.6,13.1
Miles Bridges,PF,22,CHO,59,13,28.4,4.4,8.7,.505,1.6,4.1,.404,2.7,4.6,.594,.600,1.3,1.6,.848,1.2,4.8,6.1,2.1,0.7,0.7,1.6,2.1,11.7
Oshae Brissett,SF,22,IND,8,3,16.3,2.8,5.0,.550,1.0,2.4,.421,1.8,2.6,.667,.650,1.4,2.0,.688,1.5,2.4,3.9,0.5,0.5,0.6,0.3,0.8,7.9
Malcolm Brogdon,PG,28,IND,53,53,35.1,8.1,17.8,.454,2.7,6.7,.395,5.4,11.1,.491,.529,2.7,3.2,.862,1.1,4.2,5.2,5.9,0.9,0.3,2.0,2.0,21.6
Armoni Brooks,SG,22,HOU,9,3,23.6,2.9,7.7,.377,2.3,6.7,.350,0.6,1.0,.556,.529,0.2,0.6,.400,0.6,3.4,4.0,1.4,0.4,0.1,1.2,1.4,8.3
Dillon Brooks,SF,25,MEM,54,54,29.5,6.4,15.2,.420,1.9,5.5,.346,4.5,9.7,.461,.482,2.1,2.6,.835,0.8,2.1,2.9,2.4,1.2,0.4,1.9,3.5,16.8
Bruce Brown,PG,24,BRK,56,32,22.6,3.6,6.6,.546,0.3,1.0,.291,3.3,5.6,.590,.568,1.4,1.9,.731,1.7,3.6,5.3,1.6,0.9,0.4,0.9,2.3,8.9
Jaylen Brown,SG,24,BOS,53,53,34.2,9.3,18.8,.496,2.7,6.8,.404,6.6,12.0,.548,.569,3.2,4.2,.754,1.2,4.6,5.8,3.4,1.2,0.5,2.7,2.9,24.5
Moses Brown,C,21,OKC,31,20,20.3,3.3,6.0,.543,0.0,0.0,0,3.3,6.0,.543,.543,1.9,3.0,.628,3.3,5.0,8.3,0.2,0.6,1.1,1.0,2.1,8.4
Sterling Brown,SG,25,HOU,51,14,24.1,2.9,6.6,.448,1.8,4.2,.423,1.2,2.4,.492,.584,0.5,0.6,.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
Troy Brown Jr.,SF,21,TOT,34,0,15.4,1.8,4.2,.431,0.6,2.1,.314,1.2,2.2,.541,.507,0.4,0.6,.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7
Troy Brown Jr.,SF,21,WAS,21,0,13.7,1.6,4.2,.371,0.7,2.2,.304,0.9,2.0,.442,.449,0.5,0.7,.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3
Troy Brown Jr.,SF,21,CHI,13,0,18.2,2.2,4.2,.527,0.6,1.8,.333,1.6,2.4,.677,.600,0.4,0.5,.833,0.7,2.7,3.4,0.8,0.5,0.2,0.4,1.5,5.5
Jalen Brunson,PG,24,DAL,55,11,25.5,4.8,9.1,.525,1.1,2.9,.391,3.6,6.2,.588,.588,1.9,2.5,.785,0.5,3.2,3.6,3.5,0.5,0.0,1.3,1.7,12.6
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,54,53,28.9,3.7,8.3,.440,2.4,5.9,.407,1.3,2.5,.519,.583,0.6,0.7,.895,0.2,3.1,3.4,1.5,0.8,0.2,0.7,2.2,10.4
Trey Burke,PG,28,DAL,49,0,14.3,2.4,5.4,.444,1.0,2.7,.362,1.4,2.8,.522,.532,0.7,0.8,.850,0.1,0.8,0.9,1.3,0.6,0.1,0.5,1.0,6.5
Alec Burks,SG,29,NYK,44,5,25.8,4.2,10.1,.414,2.0,5.0,.408,2.2,5.1,.420,.515,2.2,2.5,.865,0.4,4.1,4.5,2.2,0.7,0.3,1.0,2.1,12.6
Jimmy Butler,SF,31,MIA,44,44,33.9,7.0,14.3,.493,0.4,2.0,.218,6.6,12.3,.537,.508,6.8,7.9,.857,1.8,5.2,7.0,7.3,2.1,0.4,2.3,1.5,21.3
Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
Devontae Cacok,PF,24,LAL,17,1,5.2,1.0,1.6,.630,0.0,0.0,0,1.0,1.6,.630,.630,0.2,0.5,.444,0.6,1.2,1.8,0.1,0.3,0.2,0.3,0.5,2.2
Kentavious Caldwell-Pope,SG,27,LAL,55,55,27.4,3.3,7.6,.433,1.8,4.3,.424,1.5,3.3,.444,.553,1.3,1.5,.857,0.4,2.2,2.7,1.6,0.8,0.3,1.0,1.6,9.7
Facundo Campazzo,PG,29,DEN,54,8,19.9,1.6,4.3,.375,1.1,3.1,.370,0.5,1.2,.388,.506,0.9,1.1,.845,0.3,1.4,1.6,3.1,1.0,0.2,1.0,2.1,5.3
Vlatko Čančar,PF,23,DEN,33,0,5.5,0.5,1.3,.405,0.2,0.7,.227,0.4,0.6,.600,.464,0.2,0.2,.875,0.2,0.9,1.1,0.3,0.3,0.1,0.4,0.4,1.4
Devin Cannady,PG,24,ORL,7,0,10.4,1.6,4.0,.393,0.9,2.3,.375,0.7,1.7,.417,.500,0.9,1.0,.857,0.0,0.7,0.7,0.1,0.7,0.1,0.3,1.1,4.9
Clint Capela,C,26,ATL,52,52,30.5,6.8,11.3,.604,0.0,0.0,0,6.8,11.3,.604,.604,2.1,3.7,.579,4.9,9.8,14.7,0.8,0.7,2.2,1.2,2.3,15.7
Vernon Carey Jr.,C,19,CHO,14,4,6.6,1.0,2.0,.500,0.1,0.5,.143,0.9,1.5,.619,.518,0.6,0.6,.889,0.2,1.3,1.5,0.1,0.1,0.2,0.4,0.8,2.6
