Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdel Nader,SF,27,PHO,24,0,14.8,2.4,4.8,.491,0.8,1.8,.419,1.6,3.0,.534,.569,1.2,1.5,.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7
Larry Nance Jr.,PF,28,CLE,34,27,31.4,3.7,7.8,.475,1.2,3.3,.369,2.5,4.5,.552,.553,0.9,1.4,.617,1.6,5.1,6.7,3.0,1.8,0.5,1.6,2.0,9.5
Aaron Nesmith,SF,21,BOS,34,0,12.7,1.1,3.1,.375,0.7,2.2,.338,0.4,0.9,.467,.495,0.3,0.5,.688,0.5,1.8,2.2,0.4,0.3,0.2,0.5,1.4,3.4
Raul Neto,PG,28,WAS,53,11,20.9,3.2,6.9,.459,1.0,2.6,.374,2.2,4.3,.511,.530,0.9,1.1,.842,0.4,1.9,2.3,2.2,1.2,0.1,0.8,1.6,8.3
Georges Niang,PF,27,UTA,60,1,14.5,2.2,5.0,.433,1.5,3.6,.410,0.7,1.4,.494,.582,0.2,0.2,1.000,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,5.9
Zeke Nnaji,PF,20,DEN,38,1,9.4,1.2,2.4,.484,0.5,1.4,.385,0.6,1.0,.615,.593,0.3,0.4,.800,0.3,1.2,1.5,0.2,0.2,0.1,0.2,0.7,3.2
Nerlens Noel,C,26,NYK,54,31,23.8,2.2,3.5,.616,0.0,0.0,.000,2.2,3.5,.622,.616,0.8,1.1,.695,2.3,4.2,6.5,0.7,1.0,2.2,1.1,2.7,5.1
Jaylen Nowell,SG,21,MIN,38,0,18.8,3.6,8.4,.428,1.2,3.7,.338,2.3,4.7,.497,.502,1.1,1.3,.824,0.5,1.9,2.3,1.6,0.6,0.3,0.7,1.8,9.5
Frank Ntilikina,PG,22,NYK,24,4,10.9,1.0,2.7,.369,0.8,1.6,.474,0.3,1.1,.222,.508,0.3,0.7,.500,0.2,0.8,1.0,0.6,0.6,0.1,0.4,1.6,3.1
Kendrick Nunn,PG,25,MIA,47,35,29.0,5.4,11.5,.468,2.2,5.7,.383,3.2,5.8,.551,.563,1.0,1.1,.923,0.4,2.9,3.2,2.8,1.0,0.3,1.4,1.9,14.0
James Nunnally,SF,30,NOP,3,0,8.0,1.0,2.3,.429,0.7,2.0,.333,0.3,0.3,1.000,.571,0.0,0.0,0,0.3,1.0,1.3,0.0,0.0,0.0,0.3,0.0,2.7
Jusuf Nurkić,C,26,POR,24,24,23.0,4.0,8.1,.495,0.4,1.0,.360,3.6,7.0,.515,.518,1.6,2.6,.613,2.1,5.8,7.8,3.3,1.0,0.9,2.0,3.0,10.0
David Nwaba,SF,28,HOU,30,9,22.6,3.5,7.3,.486,0.6,2.1,.270,3.0,5.2,.574,.525,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2
Jordan Nwora,SF,22,MIL,25,2,9.1,1.9,4.3,.444,1.0,2.1,.462,1.0,2.2,.429,.556,0.7,0.8,.810,0.2,1.6,1.8,0.3,0.6,0.2,0.8,0.8,5.5
Royce O'Neale,SF,27,UTA,59,59,32.0,2.4,5.5,.439,1.5,3.9,.375,0.9,1.6,.596,.572,0.6,0.7,.857,1.2,5.8,7.1,2.5,0.8,0.5,1.1,2.7,6.9
Semi Ojeleye,PF,26,BOS,50,12,17.5,1.6,4.0,.400,1.1,2.9,.386,0.5,1.1,.436,.540,0.5,0.6,.750,0.5,2.1,2.6,0.7,0.3,0.0,0.4,1.1,4.8
Jahlil Okafor,C,25,DET,19,0,11.1,1.9,3.3,.597,0.1,0.3,.333,1.8,2.9,.625,.613,0.4,0.5,.800,0.7,1.4,2.1,0.6,0.2,0.2,0.5,1.2,4.4
Chuma Okeke,PF,22,ORL,42,16,24.9,2.8,6.9,.403,1.0,3.0,.328,1.8,3.9,.460,.474,0.7,0.9,.757,1.0,3.1,4.0,2.2,1.0,0.5,0.8,1.1,7.2
Josh Okogie,SG,22,MIN,48,32,21.2,1.8,4.6,.400,0.5,2.0,.266,1.3,2.6,.500,.457,1.4,1.8,.802,0.9,1.6,2.5,1.1,1.0,0.5,0.8,2.2,5.6
Onyeka Okongwu,C,20,ATL,38,3,11.2,1.6,2.6,.616,0.0,0.1,.000,1.6,2.6,.629,.616,0.7,1.2,.622,1.1,2.0,3.0,0.2,0.4,0.6,0.5,2.0,3.9
Isaac Okoro,SG,20,CLE,54,54,31.8,3.0,7.2,.422,0.9,2.8,.303,2.2,4.4,.498,.481,1.3,1.7,.723,0.9,1.9,2.8,1.8,1.0,0.4,1.3,2.7,8.2
KZ Okpala,PF,21,MIA,30,9,12.8,1.0,2.8,.345,0.4,1.6,.255,0.6,1.2,.459,.417,0.1,0.3,.300,0.6,1.4,2.0,0.5,0.3,0.3,0.4,1.7,2.4
Victor Oladipo,SG,28,TOT,33,33,32.7,7.1,17.5,.408,2.4,7.2,.326,4.8,10.2,.466,.476,3.2,4.2,.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8
Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
Victor Oladipo,SG,28,HOU,20,20,33.5,7.8,19.1,.407,2.5,7.7,.320,5.3,11.4,.465,.471,3.3,4.2,.783,0.4,4.4,4.8,5.0,1.2,0.5,2.6,2.3,21.2
Victor Oladipo,SG,28,MIA,4,4,27.8,4.0,10.8,.372,1.0,4.3,.235,3.0,6.5,.462,.419,3.0,4.5,.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,3.3,12.0
Kelly Olynyk,C,29,MIA,43,38,26.9,3.8,8.7,.431,1.8,5.7,.317,2.0,3.1,.639,.533,0.7,0.9,.775,1.0,5.0,6.1,2.1,0.9,0.6,1.3,2.9,10.0
Kelly Olynyk,PF,29,HOU,17,14,30.9,6.5,11.1,.582,1.9,4.8,.402,4.5,6.3,.720,.669,3.1,3.5,.881,1.4,6.6,7.9,2.9,1.1,0.5,2.4,2.6,17.9
Miye Oni,SG,23,UTA,44,0,9.1,0.7,1.9,.353,0.6,1.7,.333,0.1,0.2,.500,.500,0.1,0.1,.833,0.4,1.2,1.6,0.4,0.1,0.2,0.3,1.2,2.0
Cedi Osman,SF,25,CLE,49,17,24.1,3.4,9.5,.360,1.6,5.3,.300,1.8,4.2,.436,.444,1.1,1.5,.743,0.6,2.7,3.3,2.6,0.9,0.2,1.1,1.8,9.5
Daniel Oturu,C,21,LAC,23,0,4.1,0.6,1.1,.538,0.0,0.0,.000,0.6,1.1,.560,.538,0.2,0.3,.625,0.4,0.7,1.0,0.3,0.0,0.1,0.2,0.6,1.4
Kelly Oubre Jr.,SF,25,GSW,53,50,30.8,5.8,13.2,.442,1.6,5.1,.321,4.2,8.0,.519,.504,2.2,3.2,.701,1.5,4.6,6.0,1.4,1.1,0.8,1.3,2.2,15.5
Jabari Parker,PF,25,TOT,7,0,12.4,2.4,4.3,.567,0.0,0.6,.000,2.4,3.7,.654,.567,0.1,0.3,.500,1.0,2.3,3.3,1.0,0.1,0.4,1.0,1.0,5.0
Jabari Parker,PF,25,SAC,3,0,9.0,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,0.0,0.0,0,0.3,1.7,2.0,0.3,0.0,0.3,1.0,1.3,2.7
Jabari Parker,PF,25,BOS,4,0,15.0,3.3,5.8,.565,0.0,0.8,.000,3.3,5.0,.650,.565,0.3,0.5,.500,1.5,2.8,4.3,1.5,0.3,0.5,1.0,0.8,6.8
Eric Paschall,PF,24,GSW,39,2,17.3,3.7,7.5,.491,0.4,1.4,.321,3.3,6.2,.529,.520,1.6,2.3,.719,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5
Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Patrick Patterson,PF,31,LAC,33,4,14.3,1.8,4.0,.451,1.1,2.8,.385,0.8,1.3,.595,.583,0.4,0.5,.750,0.5,1.5,1.9,0.7,0.4,0.2,0.3,1.3,5.1
Justin Patton,C,23,HOU,13,6,19.0,2.2,5.4,.414,0.7,2.6,.265,1.5,2.8,.556,.479,0.2,0.3,.750,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4
Chris Paul,PG,35,PHO,58,58,31.7,6.1,12.5,.487,1.4,3.7,.377,4.7,8.8,.533,.543,2.4,2.6,.927,0.4,4.2,4.7,8.8,1.4,0.2,2.1,2.3,16.0
Cameron Payne,PG,26,PHO,48,0,17.3,2.8,6.0,.467,1.0,2.5,.400,1.8,3.5,.515,.551,0.7,0.9,.854,0.3,2.0,2.3,3.5,0.6,0.2,1.1,1.7,7.3
Elfrid Payton,PG,26,NYK,52,52,25.3,4.8,10.8,.440,0.5,1.8,.283,4.3,9.0,.471,.463,1.3,1.9,.690,1.2,2.4,3.6,3.4,0.8,0.2,1.8,1.8,11.3
Gary Payton II,PG,28,GSW,8,0,2.6,0.6,1.0,.625,0.1,0.4,.333,0.5,0.6,.800,.688,0.4,0.5,.750,0.3,0.6,0.9,0.0,0.6,0.1,0.1,0.8,1.8
Norvel Pelle,C,27,TOT,8,0,7.3,0.8,1.5,.500,0.0,0.0,0,0.8,1.5,.500,.500,0.5,0.8,.667,0.6,1.3,1.9,0.1,0.1,0.8,0.4,1.3,2.0
Norvel Pelle,C,27,BRK,3,0,9.3,1.0,2.3,.429,0.0,0.0,0,1.0,2.3,.429,.429,0.0,0.0,0,1.0,1.3,2.3,0.0,0.0,1.0,1.0,3.0,2.0
Norvel Pelle,C,27,SAC,1,0,4.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,3.0,4.0,.750,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Norvel Pelle,C,27,NYK,4,0,6.5,0.8,1.0,.750,0.0,0.0,0,0.8,1.0,.750,.750,0.3,0.5,.500,0.3,1.5,1.8,0.0,0.3,0.8,0.0,0.0,1.8
Reggie Perry,PF,20,BRK,21,0,9.5,1.5,3.5,.419,0.2,1.0,.200,1.3,2.6,.500,.446,0.5,0.6,.769,1.1,2.0,3.1,0.7,0.3,0.3,0.7,1.7,3.6
Theo Pinson,SG,25,NYK,14,0,2.2,0.1,0.6,.111,0.0,0.6,.000,0.1,0.1,1.000,.111,0.0,0.0,0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.1
Mason Plumlee,C,30,DET,54,54,26.9,4.1,6.8,.609,0.0,0.1,.000,4.1,6.6,.621,.609,2.1,3.1,.673,2.6,6.8,9.4,3.6,0.8,0.9,1.9,3.4,10.4
Jakob Poeltl,C,25,SAS,58,40,26.3,3.8,6.1,.628,0.0,0.0,0,3.8,6.1,.628,.628,0.9,1.8,.476,3.3,4.7,8.0,1.9,0.6,1.8,1.3,2.4,8.5
Vincent Poirier,C,27,PHI,10,0,3.9,0.3,1.2,.250,0.0,0.1,.000,0.3,1.1,.273,.250,0.2,0.6,.333,0.6,0.8,1.4,0.2,0.0,0.3,0.4,0.8,0.8
Aleksej Pokusevski,PF,19,OKC,37,20,23.4,2.8,8.6,.328,1.2,4.6,.265,1.6,4.0,.401,.399,0.6,0.8,.800,0.7,4.0,4.7,2.0,0.4,1.1,2.0,1.2,7.5
Jordan Poole,SG,21,GSW,39,6,18.4,3.8,8.8,.429,1.8,5.0,.352,2.0,3.8,.530,.529,1.7,1.9,.895,0.2,1.3,1.5,1.9,0.5,0.2,0.9,1.7,11.1
Jontay Porter,PF,21,MEM,7,0,3.1,0.4,1.1,.375,0.3,0.9,.333,0.1,0.3,.500,.500,0.0,0.0,0,0.3,1.0,1.3,0.1,0.3,0.0,0.7,0.9,1.1
Kevin Porter Jr.,SG,20,HOU,21,18,31.6,5.7,13.6,.421,1.7,5.8,.289,4.0,7.8,.518,.482,2.4,3.2,.746,0.7,3.1,3.8,6.2,0.8,0.3,3.4,2.3,15.5
Michael Porter Jr.,SF,22,DEN,50,43,31.1,6.9,12.8,.540,2.6,6.0,.443,4.3,6.9,.625,.643,1.7,2.2,.775,1.7,5.9,7.6,1.0,0.6,1.0,1.1,2.0,18.2
Otto Porter,SF,27,CHI,25,6,21.6,3.6,8.1,.441,1.5,3.8,.400,2.0,4.3,.477,.535,1.2,1.5,.838,1.1,4.4,5.5,2.0,0.5,0.2,1.0,1.5,9.9
Otto Porter,PF,27,ORL,3,0,22.0,3.0,8.3,.360,0.3,3.0,.111,2.7,5.3,.500,.380,1.7,1.7,1.000,0.0,4.7,4.7,1.7,1.3,0.0,0.0,1.3,8.0
Bobby Portis,C,25,MIL,55,6,21.2,4.8,9.1,.529,1.2,2.5,.481,3.6,6.7,.546,.594,0.7,0.9,.750,1.8,5.2,7.0,1.1,0.7,0.4,0.8,1.7,11.5
Kristaps Porziņģis,C,25,DAL,39,39,31.4,7.6,16.1,.474,2.2,6.2,.363,5.4,10.0,.542,.543,2.9,3.4,.850,2.0,7.3,9.3,1.6,0.5,1.5,1.3,2.7,20.4
Dwight Powell,C,29,DAL,45,11,14.9,1.8,3.2,.576,0.1,0.4,.250,1.7,2.8,.629,.594,1.4,1.9,.774,1.2,2.3,3.5,0.8,0.6,0.3,0.6,2.2,5.2
Norman Powell,SG,27,TOR,42,31,30.4,6.7,13.5,.498,2.8,6.4,.439,3.9,7.1,.552,.602,3.4,3.9,.865,0.5,2.5,3.0,1.8,1.1,0.2,1.8,2.3,19.6
Norman Powell,SF,27,POR,15,15,34.3,5.9,13.2,.444,1.9,5.7,.341,3.9,7.5,.522,.518,3.6,4.2,.857,0.9,2.1,3.0,1.8,1.5,0.4,1.8,2.3,17.3
Taurean Prince,PF,26,TOT,41,10,22.1,3.2,8.0,.401,1.5,3.8,.400,1.7,4.2,.401,.495,1.6,1.9,.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5
Taurean Prince,PF,26,BRK,12,4,18.2,2.5,6.2,.405,1.1,3.1,.351,1.4,3.1,.459,.493,2.0,2.3,.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
Taurean Prince,PF,26,CLE,29,6,23.7,3.5,8.7,.399,1.7,4.1,.415,1.8,4.7,.385,.496,1.4,1.7,.837,0.6,3.1,3.7,2.4,0.7,0.5,1.2,1.9,10.1
Payton Pritchard,SG,23,BOS,54,2,19.1,2.7,6.0,.454,1.4,3.4,.424,1.3,2.6,.493,.574,0.5,0.6,.900,0.5,1.7,2.3,1.8,0.5,0.2,0.8,1.6,7.4
Immanuel Quickley,PG,21,NYK,56,3,19.5,3.6,9.3,.392,1.9,4.8,.389,1.8,4.5,.394,.492,2.5,2.8,.892,0.4,1.8,2.2,2.1,0.5,0.2,0.9,1.8,11.7
Jahmi'us Ramsey,SG,19,SAC,5,0,3.4,0.6,1.0,.600,0.2,0.6,.333,0.4,0.4,1.000,.700,0.0,0.0,0,0.0,0.8,0.8,0.2,0.0,0.2,0.2,0.0,1.4
Chasson Randle,PG,27,ORL,28,5,19.6,1.9,5.0,.388,1.1,2.9,.370,0.9,2.1,.414,.496,0.7,0.8,.826,0.1,1.6,1.7,1.9,0.5,0.1,1.1,1.6,5.6
Julius Randle,PF,26,NYK,60,60,37.5,8.5,18.3,.462,2.2,5.3,.416,6.3,13.0,.481,.522,4.9,6.1,.805,1.3,9.2,10.5,6.0,1.0,0.3,3.5,3.2,24.0
Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
J.J. Redick,SG,36,TOT,38,0,17.6,2.7,6.5,.415,1.6,4.2,.385,1.1,2.2,.471,.541,1.2,1.3,.940,0.1,1.5,1.6,1.2,0.3,0.1,0.9,1.1,8.2
J.J. Redick,SG,36,NOP,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
J.J. Redick,SG,36,DAL,7,0,13.4,2.1,4.6,.469,1.6,3.0,.524,0.6,1.6,.364,.641,0.3,0.4,.667,0.1,1.3,1.4,0.7,0.1,0.1,1.1,0.6,6.1
Paul Reed,PF,21,PHI,18,0,6.4,1.3,2.6,.489,0.0,0.3,.000,1.3,2.3,.561,.489,0.1,0.2,.250,0.8,1.0,1.8,0.3,0.3,0.4,0.4,1.0,2.6
Naz Reid,C,21,MIN,59,15,19.2,4.2,8.2,.517,0.8,2.4,.343,3.4,5.8,.587,.566,1.8,2.5,.738,1.1,3.5,4.6,1.1,0.5,1.1,1.0,2.5,11.1
Cameron Reynolds,SF,25,SAS,3,0,2.0,0.3,0.7,.500,0.0,0.0,0,0.3,0.7,.500,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nick Richards,PF,23,CHO,16,0,3.7,0.3,0.4,.571,0.0,0.0,0,0.3,0.4,.571,.571,0.4,0.7,.636,0.1,0.4,0.6,0.1,0.0,0.0,0.2,0.4,0.9
Josh Richardson,SG,27,DAL,48,48,31.8,4.5,10.4,.429,1.5,4.8,.316,3.0,5.7,.524,.501,1.8,2.0,.905,0.9,2.6,3.5,2.8,0.9,0.4,1.4,2.4,12.3
Grant Riller,PG,23,CHO,4,0,5.0,1.0,1.8,.571,0.3,0.8,.333,0.8,1.0,.750,.643,0.0,0.0,0,0.0,0.0,0.0,0.8,0.3,0.0,0.3,0.0,2.3
Austin Rivers,SG,28,TOT,24,2,21.1,2.7,6.3,.430,1.3,3.6,.356,1.4,2.7,.531,.533,0.5,0.8,.722,0.3,2.1,2.3,2.0,0.5,0.0,1.0,1.5,7.3
Austin Rivers,SG,28,NYK,21,2,21.0,2.8,6.4,.430,1.3,3.7,.364,1.4,2.8,.517,.533,0.5,0.7,.714,0.2,2.0,2.2,2.0,0.6,0.0,1.0,1.5,7.3
Austin Rivers,SG,28,DEN,3,0,21.7,2.3,5.3,.438,1.0,3.3,.300,1.3,2.0,.667,.531,1.0,1.3,.750,0.3,2.7,3.0,1.7,0.0,0.3,0.3,1.7,6.7
Andre Roberson,SG,29,BRK,5,0,12.6,0.4,2.8,.143,0.2,1.6,.125,0.2,1.2,.167,.179,0.2,0.4,.500,1.4,1.6,3.0,0.8,0.6,0.2,0.4,0.8,1.2
Duncan Robinson,SF,26,MIA,61,61,32.1,4.4,10.1,.440,3.5,8.6,.405,0.9,1.4,.648,.613,0.8,1.0,.836,0.1,3.5,3.6,1.8,0.6,0.2,1.2,2.5,13.2
Glenn Robinson III,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
Jerome Robinson,SG,23,WAS,17,6,17.9,1.6,5.6,.295,0.6,2.5,.262,1.0,3.1,.321,.353,0.9,1.2,.800,0.2,2.0,2.2,1.5,0.7,0.4,1.1,1.8,4.9
Justin Robinson,PG,23,OKC,9,0,9.8,0.8,2.3,.333,0.4,1.6,.286,0.3,0.8,.429,.429,0.3,0.6,.600,0.1,0.7,0.8,1.0,0.3,0.0,0.2,1.1,2.3
Mitchell Robinson,C,22,NYK,31,29,27.5,3.7,5.7,.653,0.0,0.0,0,3.7,5.7,.653,.653,0.8,1.7,.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
Isaiah Roby,PF,22,OKC,49,26,23.7,3.5,7.0,.500,0.6,1.7,.341,2.9,5.3,.550,.541,1.4,2.0,.719,1.6,4.1,5.7,1.9,0.8,0.7,1.9,2.7,9.0
Rajon Rondo,PG,34,TOT,36,2,15.8,1.8,4.4,.418,0.7,1.8,.375,1.2,2.6,.447,.494,0.3,0.3,.909,0.3,1.8,2.1,3.9,0.7,0.1,1.5,1.2,4.6
Rajon Rondo,PG,34,ATL,27,2,14.9,1.6,4.1,.400,0.6,1.7,.378,1.0,2.4,.415,.477,0.0,0.1,.500,0.1,1.9,2.0,3.5,0.7,0.1,1.4,0.9,3.9
Rajon Rondo,PG,34,LAC,9,0,18.6,2.4,5.3,.458,0.8,2.1,.368,1.7,3.2,.517,.531,1.0,1.0,1.000,0.8,1.7,2.4,5.2,0.8,0.1,1.7,1.9,6.7
Derrick Rose,PG,32,TOT,40,3,24.7,5.3,11.9,.448,0.9,2.6,.353,4.4,9.3,.475,.486,2.3,2.7,.841,0.4,1.9,2.3,4.1,1.1,0.4,1.5,1.2,13.8
Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
Derrick Rose,PG,32,NYK,25,3,25.8,5.4,11.6,.460,0.9,2.5,.365,4.4,9.1,.487,.500,1.9,2.3,.842,0.3,2.2,2.5,4.0,1.0,0.5,1.3,1.2,13.6
Terrence Ross,SG,29,ORL,46,2,29.3,5.5,13.4,.412,1.9,5.7,.337,3.6,7.7,.469,.485,2.6,3.0,.870,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6
Terry Rozier,SG,26,CHO,56,56,34.1,7.5,16.1,.465,3.3,8.3,.400,4.2,7.8,.534,.568,2.4,2.9,.825,0.5,3.7,4.2,4.0,1.3,0.4,1.9,1.7,20.6
Ricky Rubio,PG,30,MIN,57,42,26.2,2.7,7.2,.378,0.9,2.9,.301,1.8,4.3,.430,.439,2.0,2.3,.856,0.4,2.8,3.2,6.6,1.4,0.1,1.8,2.1,8.3
D'Angelo Russell,PG,24,MIN,31,19,27.7,6.8,15.5,.441,2.9,7.1,.407,3.9,8.4,.469,.534,2.7,3.4,.800,0.4,2.1,2.5,4.9,1.0,0.4,2.7,1.7,19.3
Domantas Sabonis,PF,24,IND,53,53,35.7,7.5,14.4,.520,0.8,2.6,.302,6.7,11.8,.568,.547,4.1,5.6,.731,2.5,9.1,11.6,6.0,1.1,0.5,3.4,3.4,19.9
Luka Šamanić,PF,21,SAS,27,4,9.2,1.3,2.9,.430,0.3,1.4,.243,0.9,1.6,.595,.487,0.4,0.9,.500,0.5,1.6,2.0,0.5,0.3,0.2,0.6,1.3,3.3
JaKarr Sampson,PF,27,IND,22,1,8.6,1.3,3.0,.424,0.1,0.5,.200,1.2,2.5,.464,.439,0.7,1.1,.625,0.8,1.5,2.3,0.1,0.1,0.4,0.3,1.5,3.3
Dario Šarić,C,26,PHO,41,1,17.5,3.2,7.1,.451,1.0,2.9,.339,2.2,4.3,.526,.519,1.7,1.9,.872,1.0,3.0,4.0,1.3,0.6,0.1,1.2,2.0,9.1
Tomáš Satoranský,SG,29,CHI,48,18,23.3,2.9,5.8,.507,0.8,2.1,.379,2.1,3.6,.583,.577,1.2,1.3,.889,0.5,1.9,2.4,4.9,0.8,0.2,1.7,1.6,7.9
Dennis Schröder,SG,27,LAL,56,56,32.0,5.4,12.4,.438,1.2,3.4,.344,4.3,9.1,.472,.484,3.5,4.2,.843,0.5,3.0,3.5,5.7,1.2,0.2,2.7,2.6,15.6
Mike Scott,PF,32,PHI,41,11,17.6,1.6,4.2,.374,1.1,3.2,.344,0.5,1.0,.475,.506,0.2,0.3,.667,0.2,2.3,2.6,0.7,0.5,0.2,0.4,1.5,4.4
Collin Sexton,SG,22,CLE,50,50,35.7,9.0,18.4,.487,1.7,4.4,.376,7.3,14.0,.522,.532,4.8,5.9,.815,0.9,2.2,3.0,4.1,1.1,0.1,2.6,2.7,24.5
Landry Shamet,SG,23,BRK,49,5,21.9,3.1,7.5,.411,2.1,5.4,.393,0.9,2.0,.460,.554,1.1,1.3,.857,0.2,1.6,1.8,1.5,0.5,0.1,0.8,1.5,9.4
